wage_eur,value_eur,Class
565000,95500000,Class 1
125000,77500000,Class 1
470000,90000000,Class 1
370000,90000000,Class 1
200000,78000000,Class 1
240000,80500000,Class 1
155000,93500000,Class 1
220000,83000000,Class 1
405000,58500000,Class 2
250000,67500000,Class 2
340000,45000000,Class 2
150000,67500000,Class 2
155000,58000000,Class 2
205000,56000000,Class 2
235000,66000000,Class 2
215000,24500000,Class 2
300000,60000000,Class 2
300000,31500000,Class 2
355000,53000000,Class 2
235000,64500000,Class 2
300000,55000000,Class 2
370000,69000000,Class 2
215000,76500000,Class 2
250000,72500000,Class 2
185000,54500000,Class 2
255000,73000000,Class 2
205000,68000000,Class 2
235000,48000000,Class 2
285000,38000000,Class 2
110000,26000000,Class 2
155000,32000000,Class 2
150000,36000000,Class 2
265000,36000000,Class 2
195000,47000000,Class 2
135000,28000000,Class 2
330000,57000000,Class 2
170000,56000000,Class 2
205000,57000000,Class 2
220000,62000000,Class 2
195000,56500000,Class 2
210000,64000000,Class 2
240000,53500000,Class 2
185000,60000000,Class 2
200000,19500000,Class 2
135000,18500000,Class 2
285000,45000000,Class 2
155000,32500000,Class 2
135000,40000000,Class 2
130000,41000000,Class 2
155000,41000000,Class 2
240000,40000000,Class 2
180000,50000000,Class 2
195000,30500000,Class 2
140000,52000000,Class 2
195000,61000000,Class 2
120000,51500000,Class 2
89000,52000000,Class 2
140000,54500000,Class 2
210000,50000000,Class 2
135000,37500000,Class 2
125000,48000000,Class 2
245000,51000000,Class 2
170000,52000000,Class 2
245000,38000000,Class 2
180000,42500000,Class 2
150000,39000000,Class 2
160000,28500000,Class 2
175000,46500000,Class 2
69000,41000000,Class 2
170000,43500000,Class 2
105000,44500000,Class 2
165000,46000000,Class 2
76000,50000000,Class 2
34000,41500000,Class 2
195000,52000000,Class 2
205000,45000000,Class 2
115000,46500000,Class 2
73000,50500000,Class 2
150000,47000000,Class 2
77000,49500000,Class 2
125000,45000000,Class 2
125000,43500000,Class 2
69000,45000000,Class 2
175000,45000000,Class 2
24000,49000000,Class 2
88000,33500000,Class 2
69000,31000000,Class 2
92000,32000000,Class 2
115000,46000000,Class 2
105000,37500000,Class 2
175000,31000000,Class 2
135000,38000000,Class 2
115000,46000000,Class 2
205000,38000000,Class 2
39000,45000000,Class 2
15000,14000000,Class 2
92000,34000000,Class 2
175000,34500000,Class 2
145000,25000000,Class 2
250000,37500000,Class 2
205000,28000000,Class 2
110000,31500000,Class 2
155000,33000000,Class 2
49000,34500000,Class 2
88000,40500000,Class 2
225000,40500000,Class 2
110000,38000000,Class 2
61000,44500000,Class 2
70000,46000000,Class 2
195000,42500000,Class 2
92000,31000000,Class 2
150000,36500000,Class 2
115000,41500000,Class 2
110000,37500000,Class 2
180000,41000000,Class 2
110000,40500000,Class 2
120000,40000000,Class 2
94000,40500000,Class 2
120000,40500000,Class 2
120000,39500000,Class 2
40000,39000000,Class 2
91000,26000000,Class 2
78000,37500000,Class 2
23000,33000000,Class 2
37000,26000000,Class 2
88000,31500000,Class 2
125000,36500000,Class 2
16000,6500000,Class 2
125000,23500000,Class 2
41000,19000000,Class 2
54000,19000000,Class 2
26000,26500000,Class 2
115000,23000000,Class 2
71000,20500000,Class 2
125000,29500000,Class 2
125000,25500000,Class 2
37000,21000000,Class 2
75000,19500000,Class 2
140000,31000000,Class 2
135000,29500000,Class 2
160000,19500000,Class 2
205000,23500000,Class 2
125000,25000000,Class 2
145000,25500000,Class 2
96000,24000000,Class 2
180000,31000000,Class 2
43000,29000000,Class 2
165000,25500000,Class 2
44000,31500000,Class 2
155000,31500000,Class 2
26000,30500000,Class 2
36000,29500000,Class 2
92000,28000000,Class 2
195000,31500000,Class 2
67000,30500000,Class 2
74000,25000000,Class 2
76000,36000000,Class 2
46000,32000000,Class 2
105000,35000000,Class 2
78000,32000000,Class 2
155000,36500000,Class 2
91000,35000000,Class 2
140000,34500000,Class 2
38000,34500000,Class 2
67000,31000000,Class 2
110000,34000000,Class 2
38000,26000000,Class 2
46000,34500000,Class 2
97000,34500000,Class 2
77000,31000000,Class 2
125000,35500000,Class 2
140000,30000000,Class 2
120000,33000000,Class 2
18000,29500000,Class 2
70000,34500000,Class 2
64000,34000000,Class 2
93000,30500000,Class 2
180000,34000000,Class 2
97000,28500000,Class 2
100000,32500000,Class 2
78000,24000000,Class 2
23000,32500000,Class 2
41000,32500000,Class 2
50000,22000000,Class 2
89000,32000000,Class 2
105000,32000000,Class 2
80000,32000000,Class 2
120000,32000000,Class 2
35000,27500000,Class 2
130000,31500000,Class 2
35000,27000000,Class 2
29000,29500000,Class 2
42000,21500000,Class 2
36000,25500000,Class 2
105000,29500000,Class 2
39000,20000000,Class 2
130000,31000000,Class 2
60000,30500000,Class 2
140000,29000000,Class 2
58000,2600000,Class 2
11000,2600000,Class 2
33000,11500000,Class 2
31000,12000000,Class 2
45000,12000000,Class 2
46000,9500000,Class 2
82000,15500000,Class 2
64000,16500000,Class 2
32000,9500000,Class 2
17000,24500000,Class 2
48000,16500000,Class 2
82000,16500000,Class 2
51000,22500000,Class 2
26000,19500000,Class 2
80000,25000000,Class 2
135000,19500000,Class 2
105000,16500000,Class 2
105000,23500000,Class 2
115000,22000000,Class 2
120000,25500000,Class 2
140000,25500000,Class 2
42000,22000000,Class 2
31000,22000000,Class 2
67000,18500000,Class 2
145000,19000000,Class 2
135000,22500000,Class 2
100000,22000000,Class 2
77000,25500000,Class 2
60000,27000000,Class 2
86000,24000000,Class 2
67000,27000000,Class 2
64000,19000000,Class 2
21000,24000000,Class 2
61000,27000000,Class 2
60000,27500000,Class 2
43000,23500000,Class 2
51000,27000000,Class 2
39000,31000000,Class 2
65000,30500000,Class 2
140000,31000000,Class 2
125000,29000000,Class 2
63000,30000000,Class 2
39000,22000000,Class 2
95000,29000000,Class 2
80000,27000000,Class 2
89000,29000000,Class 2
75000,26500000,Class 2
22000,30000000,Class 2
18000,22000000,Class 2
150000,26000000,Class 2
